0.05	667.00	100.00
0.1	399.62	100.00
0.15	344.88	100.00
0.2	195.62	100.00
0.25	169.12	100.00
0.3	133.25	100.00
0.35	129.50	100.00
0.4	134.75	100.00
0.45	105.88	100.00
0.5	92.75	100.00
0.55	112.25	100.00
0.6	108.62	100.00
0.65	101.62	100.00
0.7	98.25	100.00
0.75	104.62	99.87
0.8	101.88	100.00
0.85	103.00	100.00
0.9	170.00	100.00
0.95	270.12	100.00
1.0	177.88	100.00
1.05	372.00	99.74
1.1	3336.88	99.09
1.15	154.00	99.35
1.2	2654.12	98.83
1.25	527.88	99.48
1.3	2821.00	99.35
1.35	4334.62	97.79
1.4	5637.00	95.83
1.45	10001	94.79

